,asin,overall,review
3914097,B016WI7ICQ,1,Don't bother!  We make very few copies and the black ink cartridges have apparently dried up in about two weeks  They first copies did well. Beware!
3914099,B016WI7ICQ,4,Works great. The only drawback I could see was that you had to handle the cartridge with great care when loading because it leaks a little. The savings are great though but make sure to take care when loading. Great but be careful when handeling .
3914100,B016WI7ICQ,5,"This product works perfectly, and for a great price.  Highly recommend. Highly recommend!"
3914101,B016WI7ICQ,5,works perfectly! Five Stars
3914102,B016WI7ICQ,5,"Third Order
highly recommend Third Order highly recommend"
3914103,B016WI7ICQ,5,"Great price, fast shipping. I have run  a lot of paper thru the printer and the ink cartridges keep going. Seem to last. Great price, fast shipping"
3914104,B016WI7ICQ,5,Top quality ink - good buy. Top quality
3914105,B016WI7ICQ,5,"I received them quickly. I've just started using them, and they seem to work fine. The yellow wouldn't stay in the printer at first, but after I bent the ""clip"" it was fine. They seem fine"
3914116,B016WI7ICQ,5,Worked great. Worked great
3914117,B016WI7ICQ,5,"This ink works for me in my HP Photosmart 7520 printer.
The pictures I am printing now are as good as the HP ink at less that half the price.
Just follow the directions included with the product.
Yes I will order again.
Thank you It works"
3914118,B016WI7ICQ,5,"Excellent product, perfect delivery, great price ! Duh !!!! Worked Perfectly !!!"
3914119,B016WI7ICQ,5,"Tired of paying for overpriced HP ink thought I would give Jarbo 564XL ink a try.  I have only used the black cartridge so far but it seems to work as well as HP cartridges.  The scare tactics are funny when you load up, saying blah, blah, blah about non HP ink, but the quality speaks for itself.  Very happy as long as the colors work as well as the black. HP 7525 printer. Works in HP 7525"
3914120,B016WI7ICQ,5,"Just installed the JARBO replacement cartridges in my hp printer.  So far so good, worth the difference in price. Great value"
3914121,B016WI7ICQ,5,The cartridges were easy to install and print quality was equally as good as HP cartridges. As good as HP ink cartridges
3914122,B016WI7ICQ,1,"These did not work in my printer. Im all fairness though, my printer is horrible! Ill never buy another HP again! Did not work"
3914123,B016WI7ICQ,5,Work well Good
3914124,B016WI7ICQ,5,nothing to dislike. they replace the hp brand perfectly. they are perfect replacements at a fraction of the cost
3914125,B016WI7ICQ,5,Worked beautifully on an HP Photosmart 6010  everything is rich in color and have been using it for more than 2 months now.  will buy them again next. Worked beautifully on an HP Photosmart 6010
3914136,B016WI7ICQ,5,Great value. Great value.
3914137,B016WI7ICQ,5,It was a great cost saver for our printer.  I use it for resumes and letters. This is a great product and very affordable!
3914138,B016WI7ICQ,5,They fit and work perfectly. Couldnt beat the price. Worth it!
3914139,B016WI7ICQ,5,Super fast shipping Saves us a lot of $$$$$$$$$ Highly Recommend this site
3914140,B016WI7ICQ,5,Purchased the JARBO ink cartridge set for my HP Photosmart 6520.  The black ink cartridge  finally gave out after many months of printing.  Price was excellent. Totally satisfied Customer
3914141,B016WI7ICQ,5,Having been using for over a year and have never any an issues. Do recommend. They work !!
3914142,B016WI7ICQ,5,My HP printer gave me a warning message but the cartridges seem to be working just fine. Great value
3914143,B016WI7ICQ,5,"If anyone is like me, you're going to do a lot of research to make sure you don't waste your money. This was definitely a steal compared to the usual price of HP cartridges! As a college student this price cut is what I need! Dont let the XL scare you, everything fits perfectly fine as you can see. PHOTOSMART 7520 COMPATIBLE!!"
3914144,B016WI7ICQ,5,"These appear to be very good replacements for HP ink, unfortunately my printer suffered other problems (feeding paper) shortly after installing these so did not get to use them very long but will be looking for these for next printer. Sensible prices, unlike HP's!"
3914145,B016WI7ICQ,5,Thank you it wrack good on my hp printer I like it
3914156,B016WI7ICQ,5,No problem with our printer Work great
3914157,B016WI7ICQ,5,Very happy to know that these ink cartridges worked in my printer and that I didn't have to keep using the HP brand that didn't work last time. Shipped and delivered right on time. Great price!!! Happy Customer! Super Excited
3914158,B016WI7ICQ,4,"Definitely recommend these! The ink looks identical to HP's and I haven't had any issues with error messages from HP. One of the cartridges wouldn't click into place, which is the only reason I gave 4 stars instead of 5. Great alternative"
3914159,B016WI7ICQ,5,Working great Great buy
3914160,B016WI7ICQ,5,I love the price value The price value
3914161,B016WI7ICQ,1,Product used for home use.  Black leaked and got all over hands and desk. Would not purchase again. Unsatisfied.
3914162,B016WI7ICQ,5,"Great color, works just like the HP ink. Highly recommend. Great quality, low price"
3914163,B016WI7ICQ,5,Work like a charm in my printer Work great
3914164,B016WI7ICQ,5,Wooks good! Works good!
3914165,B016WI7ICQ,5,Very happy with this quality ink. Happy
3914176,B016WI7ICQ,5,Great quality Jarbo Ink cartridges
3914177,B016WI7ICQ,5,These cartridges worked just great in my printers Fit perfectly
3914178,B016WI7ICQ,5,Work great and very affordable. Work great and very affordable.
3914179,B016WI7ICQ,5,These are great! These are great!
3914180,B016WI7ICQ,5,My new ink for my hp photosmart 7510 now if I plan on printing pic Ill need to use the original ink bc this one can cause bo  bos for example the pic shows a ink blot on the childs face underneath his eye but the flamingo pic came out fine both just a little darker too so not as bright Better that paying 65$ for ink on photosmart printers
3914181,B016WI7ICQ,1,"The photos on Amazon show pictures of Jarbo branded ink and even the Jarbo company link.  And it says, ""JARBO 5 Color Compatible Replacement for HP ...."" etc. as of August 6-10, 2018.

But what we got from Perfect Ink was generic, non-Jarbo inks.  See the photos.  No Jarbo box as pictured and no Jarbo branding on any of the cartridges.  And they were amateurishly sealed in some sort of heat sealed plastic and bound with a rubber band.

A rip off and not what was pictured or described.  See photos of what this ""product"" really is and what we received.

On the last photo you can see a close up of a real Jarbo ink cartridge with the ""A"" pattern of dots on the contacts vs. the generic one. Not Jarbo Ink - generics"
3914182,B016WI7ICQ,5,"I've been using these cartridges for a couple of years now in my HP Photosmart 7525 printer without issue other than the printer telling you they aren't genuine HP ink cartridges when you first install them. After acknowledging, it doesn't tell you again.

I can't comment on the quality for photo printing, but they work great for the documents I routinely print. These cartridges are an excellent value and meet my needs. Excellent Value"
3914183,B016WI7ICQ,5,"Just got this yesterday but so far excellent printing what a great deal for my Hp 7520 ink is so expensive, so this was a good buy ill update if things change. Print qaulity"
3914184,B016WI7ICQ,5,I've purchased these JARBO ink cartridges several times now and for several different printers. They have never failed and have great color and last. Well worth the price for how long they last and compared to original HP cartridges. I'll definitely buy again. JARBO ink cartridges are great!
3914185,B016WI7ICQ,4,Works  very. well. I have ordered several times and will continue to use . Only had one problem with one dried up black cartridge Good product
3914196,B016WI7ICQ,5,good price and work well with quick delivery...what more can you ask? good replacements
3914197,B016WI7ICQ,5,I've just started using the ink cartridges and so far they work fine. Ink Cartridge
3914198,B016WI7ICQ,5,Perfect Five Stars
