,asin,overall,review
3658665,B00Y3VO332,5,"This set of 12 shiny neon color liquid ink pens with reversible bullet and chisel tips will write on just about anything!

We have had a blast decorating for a couple of back to school parties and these markers have made it easy. Perfect for writing on white boards, chalk boards, posters, windows, and just about anything else you would like to decorate. My front door and walkway was covered with Welcome Home for me last week.

I like that they will clean up easily and so far we have had them stain anything that didn't wash out.

This is a nice set to have on hand for bright coloring or writing. My crew loves to create banners to hang up and these markers are great for using on them because they dry quickly and the little ones don't end up with marker on them for days!

Promotional or discounted product provided for review. Super Bright and so much fun!"
3658666,B00Y3VO332,5,These are nice chalk markers. they have a nice BOLD colors to them. the easily wipe off of surfices also. the best part I got these for a trial rate thanks Blami Arts. these are great easy to use and last These are nice chalk markers
3658667,B00Y3VO332,5,This assortment of colors wins!  I've purchased different multi-packs of chalk markers before and this assortment wins as my favorite!  Great product to use also on glass.  Very fun for the kids to decorate windows and fun for me to decorate the car for special events. great colors!
3658668,B00Y3VO332,5,Nice set of chalk markers!  Great color selection!  They work well!  Very happy! NICE! :)
3658669,B00Y3VO332,4,"Although, I love the markers, they're GREAT! I love the colors and how vibrant they are. I love the chiseled tip. The one thing that I really don't care for is the cap. It nipped my marker tip. This is the only reason why I wouldn't give it 5 stars but other than that, I really honestly like them a lot. (see the attached picture)- And that was being careful. I love the markers"
3658670,B00Y3VO332,4,"The colors are vibrant and it was easy and quick to get the ink to flow. The only negative is that the tips are easily damaged. I split one of the chisel tips before I ever used it. Sadly, it's easy to damage the tips when you are recapping the pens even if you are careful as there is a ridge inside the cap. There is a warning on the side of the pens to take care when putting the caps on - heed this warning! Nice pens but tips are delicate"
3658671,B00Y3VO332,5,"We got Blami chalk markers last week and we have tested it. All ten colors are vivid, bright and you can make really eye-catching notes and drawings on many different surfaces. I already used these chalk pens on glass (glasses, mirror and windows), plastic (bags and plastic containers), varnished wood (furniture and floor  my son and I drew small flowers on the floor to surprise my wife and it looked wonderful and she was amazed) and chalkboard contact paper. The chalk paint wipes off easily  for all stated surfaces I used only dry paper towel (my wife was a bit skeptic about the floor but these liquid chalk markers didn't leave any marks).
I recommend these liquid chalk pens to everyone because they are simple to use, chalk ink and colors are great and you get plenty of new ideas while using them. My wife is a teacher and she recommends it especially to other teachers and parents to occupy children with fun and creative activity. Useful and fun chalk markers"
3658672,B00Y3VO332,5,"I bought these chalkmarkers because I wanted to surprise my friends at the party with vibrant, shiny, colorful funny notes on

different objects (plastic, metal, glass, chalkboard). These  markers helped me astonish my friends and made my party

special and unique.  Blami chalkmarkers are simple to use  and  they also wash quite easy. Be sure to test them first on a

small area especially if the surface might be porous. My girlfriend is amazed how efficient and useful they are. Now

she uses them wherever she can. Believe me, it's wonderful to wake up in the morning and find Love you written on the

bathroom mirror.

Dominic colorful funny notes on different objects (plastic"
3658675,B00Y3VO332,5,They work great and the color is vibrant. Would definitely buy again. These work great!
3658676,B00Y3VO332,5,I thought these were great!!  They had clear instructions and worked well.  I would recommend them. Great product
3658677,B00Y3VO332,1,"I would have given these markers a full five stars if they actually erased. Pros: reversible tips, gorgeous matte colors, easy to write with (except the orange doesnt show up over black at all which is the entire point and barely shows up after 3 layers of the ink), plus you get two extra tips which is really nice; however, the only way I could erase these was if I had JUST applied them to the chalkboard within about 60 seconds and wiped them still wet with a wet rag. The magic eraser it comes with as the cure-all to removing this stuff is a joke. Nothing removes the erasable chalk once it is dry. When I used these and they sat on the chalkboard for less than 10 minutes just to the point where they were completely dry, they would not come off completely with the eraser or a wash cloth, dry, wet, soapy, nada. I ended up having to take a Brillo pad to my chalkboard and scrub at it for about 20 minutes to the point where it was tearing up my chalkboard, and theres still a faint discoloration enough you can still read every word it said (photo with personal info thats still legible is digitally marked off). On top of all that, it takes a solid chunk of time to actually prep and prime all these markers, shaking and pressing the tips in like regular paint markers. I get that a higher pigmentation for such amazing color payoff can result in the risk of staining, but taking matte paint pens (not erasable) and calling them chalk (erasable)? Waste of money. My photos are before and after. The colors are brilliant and look amazing, but they're not worth it if they're just going to ruin the chalkboard. Will NOT Erase Completely (Even with Brillo Pad)"
3658679,B00Y3VO332,5,I used this awesome chalk markers to label my spices! They were great. Highly recommend! I used them in kitchen...
3658680,B00Y3VO332,5,Love the color variety & excellent color saturation! Im an avid chalkboarder & approve these pens! Awesome pens!
3658681,B00Y3VO332,1,"Stains chalkboard, if you intend on using it again do not use these Dont buy"
3658682,B00Y3VO332,5,I cant wait to use these in my classroom. A friend told me about them. They arrived in a timely fashion and have awesome color. Great product :)
3658683,B00Y3VO332,5,Was selling my car. All I did was write on the windows and it worked. That do the job
3658684,B00Y3VO332,5,Great service and awesome follow-up with special instructions on how to get the most from my new chalk markers. Great service and helpful info!
3658685,B00Y3VO332,5,"This was my first time using Blami Arts Chalk Markers and I'm very pleased with the result. Over the past several years, I've done lots of chalkboards for friends, weddings and businesses; these markers are some of the best I've used.  Very vivid colors and the adjustable nib is a plus.  Thanks and I will definitely purchase again. Great Chalk Markers!"
3658686,B00Y3VO332,1,"Markers do not work well. The ink is spotty and does not flow, making it difficult to write or draw. I would not buy. Not so great"
3658687,B00Y3VO332,5,Great colors. Work great! Love the markers
3658688,B00Y3VO332,5,"We were looking for some chalk markers for a homemade chalkboard.  These markers are bright and beautiful, exactly as we hoped they would be. Be sure to read the online instructions as the silver and gold are permanent on chalkboards. The instructions also give great tips marker usage on porous vs. non-porous surfaces. Overall, we love these markers. Wonderful Chalk Markers"
3658689,B00Y3VO332,5,Easy to use! Possibilities are endless with these markers! So glad I purchased. Directions on how to use for first time were a very big help! Bright and beautiful
3658690,B00Y3VO332,4,"Drip heavily at first, so, use something else to get them going. I killed them very quickly unfortunately. Four Stars"
3658691,B00Y3VO332,5,These are great! Will be buying them again when I need it! Five Stars
3658692,B00Y3VO332,5,Love these chalk markers. It came with an eraser and the colors are vibrant. I am using them on a hanging chalkboard in my home to change out seasonally and love it! I would recommend these markers to others for sure! Love these chalk markers
3658693,B00Y3VO332,5,"I used these for led signage boards at a bar I work at. They show up really well and the colors pop. Have gotten so many compliments on them. They literally almost write on anything: glass, mirrors, chalkboard, windows etc. Great product!!!! Great use for signage and advertising."
3658694,B00Y3VO332,5,Love these pens and they are a great price for including the labels as well! Great price for labels to be included!
3658695,B00Y3VO332,5,Excelente calidad!!! Los colores muy variados y muy bonitos Recomendado!!
3658696,B00Y3VO332,2,"Some of the colors are dry after 2-3 times using within 1 month, have to buy others. Some of the colors are dry easily"
3658697,B00Y3VO332,4,"Havent used all of the colors yet, but some did not dry evenly and looked splotchy compared to markers Ive used in the past.. i had to use multiple coats. Plus the silver and gold markers are said to be possibly permanent, so obviously I won't use them the same way I would the others which is disappointing. Wouldnt buy again, got distracted by THE DEAL"
3658698,B00Y3VO332,5,I'm a first grade teacher and I've been looking for a chalk substitute to use on the old chalkboard in my classroom.  I'm not able to use actual chalk on this board as the dust will be harmful to the promethean board I have in my room. These markers are a perfect substitute. The colors are so bright and I love the dual tip. These will be perfect for my use and I'm even thinking about making a word work station with them for the kids. I'm not sure about how long they will last (especially with the amount of use they will have) but they are working with no complaint at this point in time. Will definitely be buying again. Excellent chalk substitute for my classroom.
3658699,B00Y3VO332,1,"Very disappointed!  I purchased these to write on a chalkboard and after I made a mistake and tried to erase, it left an awful shadow on my board.  I basically ruined an expensive chalkboard. Very Disappointed!  Does not erase as described."
3658700,B00Y3VO332,5,"Absolutely LOVE these markers! They write super clear and smooth! And if you make a mistake, the handy little eraser sponge that is included in the box wipes everything off perfectly. You'll have to make sure the sponge is rinsed and damp each wipe until all marker is all off, but just dry with a towel afterwards and no mess! The paint will stain your skin so wear gloves if you have to. My project came out way better than I expected and I had fun with it. I would definitely purchase again! 5 stars! Love these!"
3658701,B00Y3VO332,5,Im using these in my classroom. Great colors! Great Product!
3658702,B00Y3VO332,5,Love the color variations and the free tags are a plus! Beautiful colors
3658703,B00Y3VO332,5,I love these chalk markers! They are awesome! Great chalk markers
3658704,B00Y3VO332,5,These are amazing and I love using them in my Windies to decorate for the holidays. Comes right off super easy Great product
3658705,B00Y3VO332,5,"Just got these for our restaurant chalk board specials - they are fun and easy to use.  One note - you have to 'prime' them by shaking and then depressing the tips on them to get the ink to come out....but, love these! Fantastic!"
3658706,B00Y3VO332,5,I bought the chalk board stickers(same brand) and used them to decorate and label mason jars! These worked SO good. Very pleased with my purchase Work great!
3658707,B00Y3VO332,5,They are great! Very pigmented. Bought them for work. So they will be put to go use. Fantastic colors
3658708,B00Y3VO332,2,"I wish the to was finer. Do not write well.
The colors are vibrant Mixed"
3658709,B00Y3VO332,5,Nice quality! Five Stars
3658710,B00Y3VO332,5,We use these in our cafe to post daily specials. They work great and the color grabs attention.  Also a great price! Colorful
3658711,B00Y3VO332,5,Came as expected Just as expected
