,asin,overall,review
3921486,B016XTRBIU,5,great prices and great ink! would buy again! Five Stars
3921487,B016XTRBIU,5,"Let me start off by saying I have never purchased ink that wasn't from the manufacturer. Ive heard stories that the print quality isn't good at all. When I have to replace all my cartridges I always get the 920xl. The ""XL"" is much more ink than the standard 920 cartridge. I usually buy from Amazon and I buy the black, yellow, cyan, and magenta and always pay at least $80.

I received these today and was exited to find out what the quality would be. I wasn't very hopeful, but the price wasn't too bad if it was a total loss. They come very nicely packaged just like the HP cartridges. You have to remove the air hole cover and there is a cap over the spot where the ink flows out. They were the exact same size, the only difference was that they were clear and I could see the ink (this is a plus that I will talk about later). They snapped in perfect.

Before using them I pulled them back out and installed my almost empty Hp cartridges to print a few test pages. Then I put the Miroo cartridges in and printed the same test pages. My first pages were pretty poor. I figured the rumors I heard was right. I decided to use the print head cleaner function on my printer to see if that would help. After cleaning I ran the test again. The results were pretty surprising. The test pages are pretty identical. My wife said she thought the darker colors looked better on the Miroo test, but I thought they looked the same. Either way I was impressed in the quality and that I had spent an eighth of the price.

If you have inconsistent printing like I did try to clean the print heads. I could access mine in setting on the printer itself or through the software on my PC. I have also taken pictures of the test pages for you to judge for yourself.

Overall I am very pleased with this product. It does what it says it will do and is a great price. I received this product at a discount to review. This in no way reflects the review I gave. I gave an honest, unbiased review. Save tons of money over name brand, but get the same quality"
3921488,B016XTRBIU,5,"For the price, these are great. We do simple at-home printing of documents and stuff the kids like to print. These definitely get the job done for the price. Thanks! Gets the job done!"
3921489,B016XTRBIU,4,"They came fast. When you peel off the tape protection, you can see that the opening is soaked with ink, best is tap it to a napkin to wipe out the excess, and then plug in the printer, otherwise would be pretty mess.
So far printed a couple of papers in a week, and no problem.

update 3/17/2016
It is a little annoying the message that pop out saying that the ink is not compatible with HP, because you think that it is already printed and actually the system is in  hold waiting for response from the pop out screen.
Also the color yellow is not working, some time print and some time not. It is ok with basic work and NOT OK with important work.
update on 10/20/2016
Miroo customer service rep. contacted me saying that will send me another package for me to try and hoping for a better review. I gave in. The clipping of the cartridge to the cart is a little better so I don't need to tape it to the cart to keep it inside (otherwise would be slightly loose and the printer would not detect the cartridge and would give me a message of missing cartridge. But on the other hand I spent quite time to make the cartridge be recognized. The HP printer would give me message of defective cartridge randomly between the 4 of them, even to one that was legitimate HP. After start over and change the cartridges one at a time, I was able to get all of them recognized, and the printing is working since without any problem. I would upgrade the review to 4 starts. You cannot beat the price $10 for 4 cartridge ! you just need to have a little patience to answer the printer question of not OEM cartridge etc. best is tap it to a napkin to wipe out ..."
3921490,B016XTRBIU,2,I ordered the set of 4 cartridges and only the black was accepted by my printer.  It's the first time I have purchased any brand other than HP for my printer. In the future I will only order HP ink. Didn't work in my printer.
3921491,B016XTRBIU,5,Works fine so far Five Stars
3921492,B016XTRBIU,5,Works fine. No trouble. Five Stars
3921493,B016XTRBIU,5,Saved $50 on ink and it works as good as OE. Can't go wrong! Five Stars
3921494,B016XTRBIU,4,Haven't used black yet but colors working wekk Four Stars
3921495,B016XTRBIU,4,"So far I only installed the black cartridge. I get an annoying start up message from my HP printer, that a non HP cartridge is installed.
It prints just like an original OEM product. I get an annoying start up message from my HP printer"
3921496,B016XTRBIU,1,"The black cartridge leaked and now it only prints a smudged unusable copy after 2 pages have already printed. The first 2 are light followed by subsequent smudged pages. My little printer was awesome before I bought and installed this product.  The colored cartridges seemed to be fine, but it doesn't matter since the black is needed and printer is ruined. So many regrets. No no no"
3921497,B016XTRBIU,5,Worked great and fast delivery Ink
3921498,B016XTRBIU,5,Works great in my printer. Easy to install and a great price. Works just like it should!
3921499,B016XTRBIU,5,"So far, so good. No issues / problems with these cartridges! No issues with cartridges!"
3921500,B016XTRBIU,5,I have no problem with this item. I ordered it a couple of times and no issues with it.  Like it for its price and gets the job done. It works ....
3921501,B016XTRBIU,5,"My first experience with MIROO product is all positive, on time shipping, delivery and product quality. Great value"
3921502,B016XTRBIU,5,"HP 6500 Office Jet
Working great.  Seems to have a little problem with the color ""yellow"".  Makes it too dark.

Aug. 15, 2018  Unable to print envelopes or address labels.  Replaced with HP ink, prints labels and envelopes well.  What gives?  Am I doing something wrong? Working great so far!"
