,asin,overall,review
2631800,B00CRQL8OW,4,"Cool gel pens! When they run out of ink or dry out I recycle them.  All pens , makrers, and mechanical pencils are recyclable if they break. I just throw the whole thing in the recycling because they can grind up the plastic and magnetically separate the metal particles. Better for the earth.
 Cool gel pens"
2631801,B00CRQL8OW,4,"Some of the pens don't write very well, but it is a good set to have on hand Decent for price"
2631802,B00CRQL8OW,5,"Great pens, great price! I'm set for coloring. Five Stars"
2631804,B00CRQL8OW,5,Love the color variety! Better value in getting these then regular 12 count packs. Color variety!
2631805,B00CRQL8OW,5,"for the price......i expected the colors to be pretty dull, but to my surprise they are actually very vibrant. The metallics are nice too they actually have very nice shades. The pens themselves have a nice smooth drawing action as well, some cheap gel pens can be very spotty and scratchy when you write or draw with them. Also the glitter colors lay pretty well on paper/cardstock too, unfortunatley as with all gel pens that are metallic the sheen tends to rub off on your hands i have found that happens to every metallic pen out there, maybe a spray fixative that you use with pastels may stop that from happening but i haven't tried that yet. All in all they really are better than i expected them to be. better than expected"
2631806,B00CRQL8OW,5,Very good. Five Stars
2631807,B00CRQL8OW,4,Only issue i had was that the box was broken and some pens didn't have caps. Other than that great colors! Other than that great colors!
2631808,B00CRQL8OW,5,Great for coloring! Beautiful variety of colors! Five Stars
2631809,B00CRQL8OW,4,"Some of them are duds and never get a good ink flow but overall, a good purchase -- especially the sparkle and metallic pens. Some of them are duds and never get a good ink flow but overall"
2631810,B00CRQL8OW,4,Pens tend to run out of ink quickly and wish there was more variation in color. Small disappointment
2631811,B00CRQL8OW,1,We tried to use the for coloring but the pen quit working even though there was still ink in it. Very disappointing. We tried to use the for coloring but the pen ...
2631812,B00CRQL8OW,2,When using them on paper they color really nicely but they leak. Them have leaked out. Two Stars
2631813,B00CRQL8OW,5,great variety. smooth writing on most pens in the box. one tray of repeats. great variety
2631815,B00CRQL8OW,2,Received the lolliz gel pens as a gift. When I opened them I found none of the caps were on tightly and a number of them don't write at all. Most of the ones that do write do not write smoothly and skip. I was so disappointed and am sorry that I cant recommend these gel pens. Disappointed
2631816,B00CRQL8OW,1,Not good quality. Wouldnt purchase again. Pens stop working after very little coloring. One Star
2631817,B00CRQL8OW,4,Great for the artist in the family! Four Stars
2631819,B00CRQL8OW,5,"I'm really impressed with these gel pens. They either write on the first go, or if you give them a firm shake they'll write immediately, no inkflow problems either. no inkflow problems"
2631820,B00CRQL8OW,4,Was missing one gel pen Four Stars
2631821,B00CRQL8OW,5,"Loved the pens , they make doing fine line work very easy. The glitter pens are my favorite ones. Five Stars"
2631822,B00CRQL8OW,4,kept it for myself Four Stars
2631823,B00CRQL8OW,5,"Love these pens, I use them in school for writing, one thing though is to shake them before using them for the first time so the ink can come down. I also have to shake them every once in a while too but that's no big deal to me Love these pens"
2631824,B00CRQL8OW,2,"Half of these don't work, the ink has either oozed out the back end or separated in the tube. But they're cheap so may still be worth the gamble. Half of these don't work, the ink has either ..."
2631825,B00CRQL8OW,5,I can't believe how wonderful Amazon is and this product. Best deal
2631826,B00CRQL8OW,4,not enough colors...I love the glitter pens I love the glitter
2631827,B00CRQL8OW,1,These pens were not of good quality! Several of them would not even work without applying a little heat to loosen up the ink! Very disappointed! These pens were not of good quality! Several of them would not even work ...
2631828,B00CRQL8OW,5,This made a great birthday present for an 8 year-old. Lots of fun colors! Five Stars
2631829,B00CRQL8OW,5,Beautiful colors.  Smooth ink. Five Stars
2631830,B00CRQL8OW,1,"I was really excited to receive these pens, but they ended up being a disappointment. Most of the pens were full of air bubbles or only had half as much ink as they were supposed to. Some did not write at all, while most would write a sentence and then completely die. Out of 48 pens, maybe 8 or 9 of them were actually useable. But even then, the ink cartridges are so narrow that they are rapidly depleted. I would not recommend. but they ended up being a disappointment. Most of the pens were full of air ..."
2631831,B00CRQL8OW,1,"We bought a pack for a long drive with our kids. Many of them would not work, no matter what we tried. Needless to say, we were disappointed. Many didn't work."
2631832,B00CRQL8OW,5,Great colors Five Stars
2631833,B00CRQL8OW,1,These pens are junk!! They barely have any ink and they make scratch lines on the paper! Its not just one bad pen. All the pens I have tried are junk!! Dont waste your time or money!
2631834,B00CRQL8OW,1,Very disappointed with pens.  Half of them don't work. One Star
2631835,B00CRQL8OW,5,My coloring book obsessed adult child Loved these Super bargain
2631836,B00CRQL8OW,5,Love these pens!!!!! Five Stars
2631837,B00CRQL8OW,5,"Colors really well.  Good flow of ink, no stop or skips. Good flow of ink"
2631839,B00CRQL8OW,5,wonderful to use. Five Stars
2631840,B00CRQL8OW,1,I just got these. Half of them don't write. The ink is low on most of them (see picture). Wouldn't buy again!! Low ink in over half the box!!!
2631841,B00CRQL8OW,5,"love them, they are perfect for small spaces in adult coloring books. Super good"
2631842,B00CRQL8OW,5,I love and hate these pens. I love the colors. I hate the ink runs out quicker than I would like and I hate that some of them bleed into the other side. But I do actually like them. Makes it hard to hate them lol I love and hate these pens
2631843,B00CRQL8OW,4,Like them but they do tend to run out very fast Variety of colors
2631844,B00CRQL8OW,4,My daughter uses them and likes them Four Stars
2631845,B00CRQL8OW,5,"My 6yr old loves these pens, he draws with them all the time. Good variety and quality for at a good price. Good for aspiring artists"
2631846,B00CRQL8OW,5,"I sent these pens to my sister, she loves them... Five Stars"
2631847,B00CRQL8OW,5,Love love love these. Great set of gel pens. It dries a little slow for some so you can get it on your hands while coloring. I love the assortment of colors. You will be pleased with these. I received mine in a week after ordering. Awesome!! Love love love these
2631848,B00CRQL8OW,1,"Some were dried up, some were half empty and the ink is not lasting as long as the last ones I previously ordered. Very poor quality! Very poor quality"
2631849,B00CRQL8OW,1,The ink doesn't last more than ONE page of writing. All 48 have been thrown in the trash. One Star
2631850,B00CRQL8OW,5,I got these pens for my mom.  She is 95 and needs something to do with her time.  She used these pens until they ran out of ink.  I am getting her another set. Wonderful product
2631851,B00CRQL8OW,1,These pens don't have much ink in them.  They seem to be filled with a lot of air!  I wouldn't buy them again. Filled with air
2631852,B00CRQL8OW,5,Love these pens thank you Five Stars
2631856,B00CRQL8OW,1,21 pens out of 48 work. Broken trays and caps and bad ink or dried out ink. Returning. Would not recommend. Only 21 have enough ink.
2631857,B00CRQL8OW,2,So far at least 5 of the pens aren't usable. Very disappointed with the poor quality. Dont buy these pens..
2631858,B00CRQL8OW,1,These suck. Beware these pens. They do not write well and have barely any gel and die easily. They suck.
2631859,B00CRQL8OW,1,"Most of the pens are dried out already, and don't work. Disappointed in purchase! Disappointed in purchase"
2631860,B00CRQL8OW,2,"Good delivery, but the colors are dull. Not what I wanted . Dull colors"
2631861,B00CRQL8OW,4,They were very good except they run out of ink really quick. Four Stars
2631862,B00CRQL8OW,5,Great product at great price! Five Stars
2631863,B00CRQL8OW,5,I bought these for my staff at work (servers and hosts) and they all really like them. Very pretty colors. All of them worked
2631864,B00CRQL8OW,5,Wonderful pens and great price. They actually last a good while too. Five Stars
2631866,B00CRQL8OW,5,"Great pens, a gift for my daughter, she loved them Very good"
2631867,B00CRQL8OW,5,A gift for a child. he was very happy
2631868,B00CRQL8OW,5,Great pens. Great price. They write very well. Great price
2631869,B00CRQL8OW,1,These pens are awful.  I drew several short lines with several of them and then they quit working.  I returned them. These pens are awful. I drew several short lines ...
2631870,B00CRQL8OW,5,My daughter is the artist of our family. She has made some really cool drawings with these. The color is so vivid. Only draw back is they don't last for very long. She has made some really cool drawings with these
2631872,B00CRQL8OW,5,Granddaughter loved them Five Stars
2631874,B00CRQL8OW,4,This is a gift so I didn't try all of the colors but 2 I did try were blotting. I hope they all don't blot. Pretty colors and good price I feel for the price. I like that there is a variety. Good price for variety of colors. Hope they all don't blot.
2631875,B00CRQL8OW,2,"Great color selection, too bad they dry out within 10 minutes. I haven't been able to finish coloring a single picture because each time I start one, the pen I am using runs out 1/4 of the way through. Great color selection"
2631876,B00CRQL8OW,5,I like these better than a couple others I have tried.  They are smooth and bright colors. Smooth. Bright colors.
2631878,B00CRQL8OW,4,good pens but seem to leak a little Four Stars
2631879,B00CRQL8OW,5,"I love all the colors, works great with coloring books. Five Stars"
2631880,B00CRQL8OW,5,Great pens. Great colors. Color smooth. Five Stars
